item_id,statement_type,canonical_name,item_name_vi,sign_rule,unit,use_for_feature
bsa1,balance_sheet,current_assets,TÀI SẢN NGẮN HẠN,always_positive,VND,1
bsa10,balance_sheet,advances_to_suppliers,Trả trước người bán,always_positive,VND,1
bsa11,balance_sheet,intercompany_receivables,Phải thu nội bộ,always_positive,VND,1
bsa12,balance_sheet,construction_contract_receivables,Phải thu hợp đồng xây dựng đang thực hiện,always_positive,VND,1
bsa120,balance_sheet,preferred_shares,Cổ phiếu ưu đãi,always_positive,VND,0
bsa13,balance_sheet,other_receivables,Phải thu khác,always_positive,VND,1
bsa14,balance_sheet,allowance_for_doubtful_accounts,Dự phòng nợ khó đòi,contra_asset,VND,1
bsa15,balance_sheet,net_inventory,"Hàng tồn kho, ròng",always_positive,VND,1
bsa159,balance_sheet,short_term_loans_receivable,Phải thu cho vay ngắn hạn,always_positive,VND,1
bsa16,balance_sheet,inventory,Hàng tồn kho,always_positive,VND,1
bsa160,balance_sheet,government_bond_repo_transactions,Giao dịch mua bán lại trái phiếu Chính phủ,always_positive,VND,0
bsa161,balance_sheet,long_term_advances_to_suppliers,Trả trước người bán dài hạn,always_positive,VND,1
bsa162,balance_sheet,long_term_loans_receivable,Phải thu cho vay dài hạn,always_positive,VND,1
bsa163,balance_sheet,long_term_work_in_progress,Tài sản dở dang dài hạn,always_positive,VND,1
bsa164,balance_sheet,long_term_construction_in_progress,"Chi phí sản xuất, kinh doanh dở dang dài hạn",always_positive,VND,1
bsa165,balance_sheet,held_to_maturity_investments,Đầu tư nắm giữ đến ngày đáo hạn,always_positive,VND,1
bsa166,balance_sheet,long_term_spare_parts,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",always_positive,VND,1
bsa167,balance_sheet,deferred_revenue_current,Doanh thu chưa thực hiện ngắn hạn,always_positive,VND,1
bsa168,balance_sheet,price_stabilization_fund,Quỹ bình ổn giá,always_positive,VND,0
bsa169,balance_sheet,government_bond_repo_transactions,Giao dịch mua bán lại trái phiếu chính phủ,always_positive,VND,0
bsa17,balance_sheet,inventory_write_down_allowance,Dự phòng giảm giá hàng tồn kho,contra_asset,VND,1
bsa170,balance_sheet,long_term_customer_advances,Người mua trả tiền trước dài hạn,always_positive,VND,1
bsa171,balance_sheet,long_term_accrued_expenses,Chi phí phải trả dài hạn,always_positive,VND,1
bsa172,balance_sheet,intercompany_capital_payables,Phải trả nội bộ về vốn kinh doanh,always_positive,VND,0
bsa173,balance_sheet,convertible_bonds,Trái phiếu chuyển đổi,always_positive,VND,0
bsa174,balance_sheet,preferred_shares,Cổ phiếu ưu đãi,always_positive,VND,0
bsa175,balance_sheet,common_shares,Cổ phiếu phổ thông,always_positive,VND,0
bsa176,balance_sheet,bond_conversion_options,Quyền chọn chuyển đổi trái phiếu,always_positive,VND,0
bsa177,balance_sheet,retained_earnings_beginning,LNST chưa phân phối lũy kế đến cuối kỳ trước,signed,VND,1
bsa178,balance_sheet,retained_earnings_current_year,LNST chưa phân phối kỳ này,signed,VND,1
bsa18,balance_sheet,other_current_assets,Tài sản lưu động khác,always_positive,VND,1
bsa188,balance_sheet,construction_in_progress,Xây dựng cơ bản đang dở dang,always_positive,VND,1
bsa19,balance_sheet,short_term_prepaid_expenses,Chi phí trả trước ngắn hạn,always_positive,VND,1
bsa2,balance_sheet,cash_and_cash_equivalents,Tiền và tương đương tiền,always_positive,VND,1
bsa20,balance_sheet,deductible_vat,Thuế GTGT được khấu trừ,always_positive,VND,1
bsa209,balance_sheet,goodwill,Lợi thế thương mại,always_positive,VND,0
bsa21,balance_sheet,other_tax_receivables,Phải thu thuế khác,always_positive,VND,1
bsa210,balance_sheet,non_controlling_interests,Lợi ích cổ đông không kiểm soát,always_positive,VND,0
bsa211,balance_sheet,asset_formation_funds,Nguồn kinh phí đã hình thành TSCĐ,always_positive,VND,0
bsa22,balance_sheet,other_current_assets_other,Tài sản lưu động khác,always_positive,VND,1
bsa23,balance_sheet,non_current_assets,TÀI SẢN DÀI HẠN,always_positive,VND,0
bsa24,balance_sheet,long_term_receivables,Phải thu dài hạn,always_positive,VND,1
bsa25,balance_sheet,long_term_trade_receivables,Phải thu khách hàng dài hạn,always_positive,VND,1
bsa26,balance_sheet,long_term_intercompany_receivables,Phải thu nội bộ dài hạn,always_positive,VND,1
bsa27,balance_sheet,other_long_term_receivables,Phải thu dài hạn khác,always_positive,VND,1
bsa28,balance_sheet,allowance_for_long_term_receivables,Dự phòng phải thu dài hạn,always_positive,VND,1
bsa29,balance_sheet,fixed_assets,Tài sản cố định,always_positive,VND,1
bsa3,balance_sheet,cash,Tiền,always_positive,VND,1
bsa30,balance_sheet,net_property_plant_and_equipment,GTCL TSCĐ hữu hình,always_positive,VND,1
bsa31,balance_sheet,gross_property_plant_and_equipment,Nguyên giá TSCĐ hữu hình,always_positive,VND,1
bsa32,balance_sheet,accumulated_depreciation_pp_and_e,Khấu hao lũy kế TSCĐ hữu hình,contra_asset,VND,1
bsa33,balance_sheet,net_finance_lease_assets,GTCL tài sản thuê tài chính,always_positive,VND,1
bsa34,balance_sheet,gross_finance_lease_assets,Nguyên giá tài sản thuê tài chính,always_positive,VND,1
bsa35,balance_sheet,accumulated_depreciation_finance_lease,Khấu hao lũy kế tài sản thuê tài chính,contra_asset,VND,1
bsa36,balance_sheet,net_intangible_assets,GTCL tài sản cố định vô hình,always_positive,VND,1
bsa37,balance_sheet,gross_intangible_assets,Nguyên giá TSCĐ vô hình,always_positive,VND,1
bsa38,balance_sheet,accumulated_amortization,Khấu hao lũy kế TSCĐ vô hình,contra_asset,VND,1
bsa39,balance_sheet,construction_in_progress_pre2015,Xây dựng cơ bản đang dang dở (trước 2015),always_positive,VND,1
bsa4,balance_sheet,cash_equivalents,Các khoản tương đương tiền,always_positive,VND,1
bsa40,balance_sheet,net_investment_property,Giá trị ròng tài sản đầu tư,always_positive,VND,1
bsa41,balance_sheet,gross_investment_property,Nguyên giá tài sản đầu tư,always_positive,VND,1
bsa42,balance_sheet,accumulated_depreciation_investment_property,Khấu hao lũy kế tài sản đầu tư,contra_asset,VND,1
bsa43,balance_sheet,long_term_investments,Đầu tư dài hạn,always_positive,VND,1
bsa44,balance_sheet,investments_in_subsidiaries,Đầu tư vào các công ty con,always_positive,VND,1
bsa45,balance_sheet,investments_in_associates,Đầu tư vào các công ty liên kết,always_positive,VND,1
bsa46,balance_sheet,other_long_term_investments,Đầu tư dài hạn khác,always_positive,VND,1
bsa47,balance_sheet,allowance_for_long_term_investments,Dự phòng giảm giá đầu tư dài hạn,contra_asset,VND,1
bsa48,balance_sheet,goodwill_pre2015,Lợi thế thương mại (trước 2015),always_positive,VND,0
bsa49,balance_sheet,other_non_current_assets,Tài sản dài hạn khác,always_positive,VND,1
bsa5,balance_sheet,short_term_investments,Đầu tư ngắn hạn,always_positive,VND,1
bsa50,balance_sheet,long_term_prepaid_expenses,Trả trước dài hạn,always_positive,VND,1
bsa51,balance_sheet,deferred_tax_assets,Thuế thu nhập hoãn lại,always_positive,VND,1
bsa52,balance_sheet,other_long_term_assets,Các tài sản dài hạn khác,always_positive,VND,1
bsa53,balance_sheet,total_assets,TỔNG CỘNG TÀI SẢN,always_positive,VND,1
bsa54,balance_sheet,total_liabilities,NỢ PHẢI TRẢ,always_positive,VND,1
bsa55,balance_sheet,current_liabilities,Nợ ngắn hạn,always_positive,VND,1
bsa56,balance_sheet,short_term_borrowings,Vay ngắn hạn,always_positive,VND,1
bsa57,balance_sheet,trade_payables,Phải trả người bán,always_positive,VND,1
bsa58,balance_sheet,customer_advances,Người mua trả tiền trước,always_positive,VND,1
bsa59,balance_sheet,taxes_payable,Thuế và các khoản phải trả Nhà nước,always_positive,VND,1
bsa6,balance_sheet,trading_securities,Đầu tư ngắn hạn,always_positive,VND,1
bsa60,balance_sheet,employee_payables,Phải trả người lao động,always_positive,VND,1
bsa61,balance_sheet,accrued_expenses,Chi phí phải trả,always_positive,VND,1
bsa62,balance_sheet,intercompany_payables,Phải trả nội bộ,always_positive,VND,1
bsa63,balance_sheet,construction_payables,Phải trả về xây dựng cơ bản,always_positive,VND,1
bsa64,balance_sheet,other_payables,Phải trả khác,always_positive,VND,1
bsa65,balance_sheet,current_provisions,Dự phòng các khoản phải trả ngắn hạn,always_positive,VND,1
bsa66,balance_sheet,bonus_and_welfare_fund,"Quỹ khen thưởng, phúc lợi",always_positive,VND,0
bsa67,balance_sheet,non_current_liabilities,Nợ dài hạn,always_positive,VND,1
bsa68,balance_sheet,long_term_trade_payables,Phải trả nhà cung cấp dài hạn,always_positive,VND,1
bsa69,balance_sheet,long_term_intercompany_payables,Phải trả nội bộ dài hạn,always_positive,VND,1
bsa7,balance_sheet,investment_allowance,Dự phòng giảm giá,contra_asset,VND,1
bsa70,balance_sheet,other_long_term_payables,Phải trả dài hạn khác,always_positive,VND,1
bsa71,balance_sheet,long_term_borrowings,Vay dài hạn,always_positive,VND,1
bsa72,balance_sheet,deferred_tax_liabilities,Thuế thu nhập hoãn lại,always_positive,VND,1
bsa73,balance_sheet,severance_provision,Dự phòng trợ cấp thôi việc,always_positive,VND,1
bsa74,balance_sheet,long_term_provisions,Dự phòng các khoản nợ dài hạn,always_positive,VND,1
bsa76,balance_sheet,deferred_revenue,Doanh thu chưa thực hiện,always_positive,VND,1
bsa77,balance_sheet,science_and_technology_fund,Quỹ phát triển khoa học công nghệ,always_positive,VND,0
bsa78,balance_sheet,equity,Vốn chủ sở hữu,signed,VND,1
bsa79,balance_sheet,capital_and_reserves,Vốn và các quỹ,always_positive,VND,0
bsa8,balance_sheet,receivables,Các khoản phải thu,always_positive,VND,1
bsa80,balance_sheet,contributed_capital,Vốn góp,always_positive,VND,1
bsa81,balance_sheet,share_premium,Thặng dư vốn cổ phần,always_positive,VND,1
bsa82,balance_sheet,other_capital,Vốn khác,always_positive,VND,0
bsa83,balance_sheet,treasury_shares,Cổ phiếu quỹ,contra_asset,VND,0
